date,latitude,longitude,fire_occurred,acq_time,acq_timestamp,frp,confidence,daynight,type,source_file
2023-05-24,45.14638,9.94046,1,153,2023-05-24 01:53:00,6.17,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,45.78012,8.68284,1,153,2023-05-24 01:53:00,0.76,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,45.47771,10.21107,1,153,2023-05-24 01:53:00,1.98,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,45.46137,10.45578,1,153,2023-05-24 01:53:00,1.51,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,45.46135,10.45668,1,153,2023-05-24 01:53:00,0.99,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,45.51482,10.34274,1,153,2023-05-24 01:53:00,0.92,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.50224,17.20331,1,153,2023-05-24 01:53:00,1.17,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.5062,17.21338,1,153,2023-05-24 01:53:00,1.17,n,N,3,italy_viirs_snpp_2023.csv
2023-05-24,40.50833,17.20664,1,153,2023-05-24 01:53:00,1.17,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,40.51868,17.19652,1,153,2023-05-24 01:53:00,2.72,n,N,0,italy_viirs_snpp_2023.csv
2023-05-24,40.55775,9.67257,1,154,2023-05-24 01:54:00,0.69,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,37.20974,15.16735,1,154,2023-05-24 01:54:00,0.97,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,37.73179,14.99489,1,154,2023-05-24 01:54:00,3.58,n,N,1,italy_viirs_snpp_2023.csv
2023-05-24,37.72721,14.9948,1,154,2023-05-24 01:54:00,1.87,n,N,3,italy_viirs_snpp_2023.csv
2023-05-24,37.73435,14.9939,1,154,2023-05-24 01:54:00,1.87,n,N,1,italy_viirs_snpp_2023.csv
2023-05-24,37.73661,15.0321,1,154,2023-05-24 01:54:00,2.0,n,N,3,italy_viirs_snpp_2023.csv
2023-05-24,37.74618,15.00026,1,154,2023-05-24 01:54:00,5.16,n,N,1,italy_viirs_snpp_2023.csv
2023-05-24,38.20346,15.26503,1,154,2023-05-24 01:54:00,1.04,n,N,2,italy_viirs_snpp_2023.csv
2023-05-24,37.29088,14.67221,1,1135,2023-05-24 11:35:00,2.39,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,37.43937,15.03226,1,1135,2023-05-24 11:35:00,1.59,l,D,2,italy_viirs_snpp_2023.csv
2023-05-24,37.62982,12.67583,1,1135,2023-05-24 11:35:00,4.81,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,40.54099,18.01363,1,1136,2023-05-24 11:36:00,1.95,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.54919,11.25673,1,1137,2023-05-24 11:37:00,3.11,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.79976,10.56926,1,1137,2023-05-24 11:37:00,20.69,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.79571,10.57108,1,1137,2023-05-24 11:37:00,3.56,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.81872,10.88798,1,1137,2023-05-24 11:37:00,3.29,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.65217,10.9578,1,1137,2023-05-24 11:37:00,3.45,n,D,0,italy_viirs_snpp_2023.csv
2023-05-24,44.51627,11.41443,1,1137,2023-05-24 11:37:00,2.09,n,D,0,italy_viirs_snpp_2023.csv
