latitude,longitude,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,month,day_of_year
37.11977,15.2179,12.5,77,0.0,10.9,1,8
37.75122,15.03431,1.3,83,0.0,8.3,1,1
39.75343,8.56845,11.9,84,0.1,9.1,1,7
37.89315,15.24109,9.7,78,0.0,9.5,1,4
36.65,16.42,15.9,78,0.0,16.0,1,4
40.50531,17.20846,11.3,83,0.0,11.9,1,6
41.68095,14.99281,9.4,83,0.0,25.5,1,8
39.08134,9.02071,15.1,88,0.1,19.1,1,2
44.79,10.5,8.2,93,1.3,5.8,1,3
38.79464,15.20804,10.7,74,0.1,11.2,1,4
37.74861,15.00764,-3.8,81,0.0,5.8,1,2
40.4,17.63,11.5,88,0.0,9.0,1,1
39.65,7.1,16.9,74,1.0,51.0,1,8
37.74869,15.03577,1.3,93,2.1,5.8,1,6
45.4,16.34,12.6,80,0.0,20.6,1,1
40.50227,17.20729,11.9,81,0.0,13.0,1,4
37.12177,15.21684,12.6,88,0.5,11.6,1,3
40.50557,17.21117,11.6,85,0.0,7.6,1,2
38.79353,15.20983,10.7,75,0.0,8.3,1,3
41.71,9.78,14.9,87,0.0,16.9,1,1
41.67666,14.99387,9.4,83,0.0,25.5,1,8
40.51586,17.20743,10.1,92,0.0,9.0,1,3
37.75698,15.0195,-3.2,90,1.8,6.2,1,6
37.21227,15.16831,14.2,73,0.7,29.4,1,9
36.47,6.18,9.0,61,0.0,9.0,1,1
41.15,12.3,15.8,77,0.6,19.2,1,4
42.54,9.88,15.2,83,6.6,54.0,1,8
40.58,6.79,17.0,79,0.0,26.8,1,2
39.42,11.54,16.1,88,0.0,18.6,1,1
40.50268,17.21667,12.1,84,0.0,11.8,1,4
40.5049,17.2091,10.1,92,0.0,9.0,1,3
37.87,6.01,15.8,78,1.3,21.3,1,4
37.21,6.62,15.5,81,1.5,29.2,1,4
42.88,9.48,14.0,92,0.0,21.6,1,2
44.85,6.78,-1.2,51,0.0,4.7,1,6
43.15,6.09,11.6,88,3.3,11.8,1,7
44.81,12.62,10.3,93,0.0,10.8,1,3
37.21,13.98,10.5,87,0.0,14.6,1,8
37.97,9.71,16.5,81,0.0,21.1,1,3
37.12109,15.21868,12.0,83,0.0,9.0,1,4
39.65,12.73,16.2,76,0.1,19.8,1,4
38.79309,15.21373,11.1,75,0.0,18.3,1,2
41.82,9.08,9.2,82,0.0,4.4,1,1
44.75,15.69,4.8,96,0.0,18.5,1,5
41.87,14.41,6.3,84,0.0,7.7,1,6
40.22,10.51,16.1,85,0.0,18.6,1,1
39.38,9.47,11.9,80,0.0,7.9,1,3
40.08,10.3,15.5,83,0.1,22.3,1,4
37.75654,15.02986,-3.0,91,1.3,9.2,1,6
37.74781,15.01838,0.2,68,0.0,3.7,1,3
40.50674,17.21377,11.0,87,0.0,6.9,1,1
44.86,8.78,7.2,94,0.5,7.2,1,1
40.4928,17.19444,10.5,90,0.0,9.9,1,8
37.51,16.94,15.5,78,0.2,10.7,1,4
40.52167,17.2058,11.3,83,0.0,11.9,1,6
37.75771,15.02092,-1.6,67,0.0,5.7,1,3
38.79392,15.21389,10.7,74,0.1,11.2,1,4
46.54,13.02,3.4,86,0.0,8.3,1,6
37.26,14.24,11.2,88,0.0,11.5,1,3
37.24,8.93,15.6,68,0.0,18.3,1,8
37.74944,15.02013,-1.3,84,0.2,4.5,1,4
40.49313,17.1954,10.1,92,0.0,9.0,1,3
42.88,16.38,15.0,81,0.0,28.1,1,4
37.11975,15.21862,13.0,84,0.1,10.0,1,7
43.05,7.14,14.7,89,0.0,21.3,1,2
42.74,14.93,14.2,78,0.0,9.4,1,6
46.6,15.31,5.1,81,0.0,19.1,1,7
38.0,15.42,14.4,77,0.1,10.2,1,6
39.3,11.17,16.0,70,0.1,42.2,1,8
40.5004,17.20658,11.4,85,0.0,10.4,1,5
45.34,17.53,8.2,84,0.0,17.9,1,5
36.72,9.82,11.5,80,0.0,10.3,1,7
40.50094,17.21689,12.1,84,0.0,11.8,1,4
40.71,6.1,17.1,80,0.0,29.5,1,2
39.06,6.08,16.1,66,0.0,30.8,1,7
46.01,15.58,8.2,80,0.0,18.1,1,8
40.5006,17.21562,10.7,95,0.0,7.4,1,1
45.73,16.38,10.2,86,0.6,10.9,1,3
47.49,16.22,7.7,77,6.7,11.7,1,5
41.69,17.98,14.7,88,0.0,6.2,1,1
37.21183,15.16922,12.8,77,0.2,11.9,1,6
43.59,10.32,12.4,90,1.1,14.7,1,3
37.95679,14.60815,8.0,80,0.0,8.6,1,3
37.7478,15.03727,1.3,93,2.1,5.8,1,6
45.97,14.36,9.4,95,0.7,10.8,1,3
38.68,8.22,16.6,82,0.0,34.5,1,2
44.12,18.73,1.5,92,0.0,10.3,1,4
37.4977,15.01079,11.3,76,0.0,9.0,1,5
40.51171,17.20322,11.6,85,0.0,7.6,1,2
43.33,17.41,6.2,85,0.3,10.6,1,5
43.97,14.43,15.5,82,0.0,14.8,1,1
40.50893,17.17662,11.6,85,0.0,7.6,1,2
41.32,16.04,8.0,90,0.0,9.5,1,7
37.75186,15.02975,1.2,85,0.2,4.5,1,4
46.23,17.26,7.9,89,0.2,11.4,1,3
37.74685,15.01595,-1.8,82,0.0,5.8,1,2
46.21,9.38,-1.6,70,0.0,6.7,1,4
37.75288,14.9929,-5.6,84,0.2,4.5,1,4
40.51239,17.19639,11.2,84,0.0,12.3,1,7
47.16,18.48,5.5,91,0.0,12.3,1,7
37.75079,15.02912,1.2,85,0.2,4.5,1,4
37.09,13.5,14.6,81,0.0,17.6,1,5
38.79174,15.21122,10.9,83,0.0,12.0,1,1
